"tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
290.0,58.76,6.0482758621,9,0.39617586206891015
291.0,58.96,6.0446735395,10,0.3961718213057855
292.0,59.12,6.0410958904,8,0.3961780821917234
293.0,59.28,6.0477815700,8,0.39618430034123847
294.0,59.42,6.0646258503,7,0.39619047619041675
295.0,59.6,6.0610169492,9,0.3961966101694311
296.0,59.78,6.0540540541,9,0.39620270270264124
297.0,60,6.0404040404,11,0.3962087542086918
298.0,60.24,6.0234899329,12,0.39621476510060777
299.0,60.52,6.0133779264,14,0.3962207357858888
300.0,60.7,6.0166666667,9,0.39622666666660133
301.0,60.84,6.0199335548,7,0.3962325581394686
302.0,60.98,6.0298013245,7,0.39623841059595927
303.0,61.14,6.0495049505,8,0.39624422442237406
304.0,61.34,6.0756578947,10,0.3962499999999309
305.0,61.6,6.0754098361,13,0.396255737704848
306.0,61.9,6.0653594771,15,0.3962614379084258
307.0,62.18,6.0488599349,14,0.3962671009771268
308.0,62.52,6.0422077922,17,0.3962727272726545
309.0,62.9,6.0388349515,19,0.3962783171520299
310.0,63.06,6.0290322581,8,0.3962838709676673
311.0,63.14,6.0192926045,4,0.3962893890674486
312.0,63.26,6.0384615385,6,0.3962948717947954
313.0,63.38,6.0734824281,6,0.3963003194887406
314.0,63.52,6.1082802548,7,0.3963057324839983
315.0,63.7,6.0952380952,9,0.39631111111103207
316.0,63.88,6.0822784810,9,0.39631645569612267
317.0,64.12,6.0694006309,12,0.3963217665614335
318.0,64.4,6.0628930818,14,0.3963270440250756
319.0,64.68,6.0564263323,14,0.39633228840117146
320.0,64.82,6.053125,7,0.39632812499991665
321.0,64.96,6.0467289720,7,0.3963239875388566
322.0,65.2,6.0434782609,12,0.3963291925464988
323.0,65.48,6.0557275542,14,0.39633436532499156
324.0,65.76,6.0709876543,14,0.3963395061727528
325.0,66.06,6.0676923077,15,0.39634461538452787
326.0,66.38,6.0644171779,16,0.3963496932514454
327.0,66.84,6.0550458716,23,0.39635474006107296
328.0,67.3,6.0426829268,23,0.39635975609747104
329.0,67.76,6.0303951368,23,0.39636474164124663
330.0,67.94,6.0272727273,9,0.39636969696960545
331.0,68.04,6.0271903323,5,0.39637462235640314
